Time,Sales,SMA,SD,Upper Band,Lower Band
2020-10-01,,362411,,482487,242335
2021-01-01,,-204626,,-78388,-330864
2021-04-01,,-116146,,18356,-250647
2021-07-01,,-130552,,11512,-272616
2021-10-01,,366458,,515721,217195
2022-01-01,,-172210,,-16082,-328339
2022-04-01,,-127114,,35591,-289819
2022-07-01,,-137781,,31245,-306806
2022-10-01,,471767,,646885,296649
2023-01-01,,-207028,,-26022,-388034
2023-04-01,,-194498,,-7790,-381206
2023-07-01,,-136206,,56035,-328447
2023-10-01,,337013,,626165,47861
2024-01-01,,-246224,,60065,-552512
2024-04-01,,-158883,,167099,-484864
2024-07-01,,-172146,,172091,-516384
2024-10-01,,340631,,702231,-20969
2025-01-01,,-211769,,166395,-589933
2025-04-01,,-177812,,216220,-571844
2025-07-01,,-178797,,230489,-588083
2025-10-01,,456109,,880100,32118
2026-01-01,,-249784,,188419,-687987
2026-04-01,,-247838,,204130,-699806
2026-07-01,,-179186,,286140,-644513
2026-10-01,,299498,,854138,-255142
2027-01-01,,-290501,,290406,-871409
2027-04-01,,-203635,,405892,-813163
2027-07-01,,-216422,,420124,-852969
2027-10-01,,302937,,965429,-359555
2028-01-01,,-255196,,432262,-942653
2028-04-01,,-225888,,485659,-937436
2028-07-01,,-222832,,512016,-957680
2028-10-01,,422660,,1180092,-334772
2029-01-01,,-294545,,484817,-1073907
2029-04-01,,-297017,,503674,-1097709
2029-07-01,,-224041,,597426,-1045508
2029-10-01,,256925,,1163477,-649627
2030-01-01,,-335897,,604077,-1275872
2030-04-01,,-249230,,726265,-1224725
2030-07-01,,-261818,,747655,-1271290
2030-10-01,,260289,,1302658,-782080
2031-01-01,,-300237,,774020,-1374493
2031-04-01,,-272870,,832354,-1378095
2031-07-01,,-268127,,867222,-1403475
2031-10-01,,381784,,1546477,-782909
2032-01-01,,-340143,,853174,-1533459
2032-04-01,,-344460,,876810,-1565729
2032-07-01,,-269678,,978918,-1518275
2032-10-01,,212241,,1544023,-1119542
2033-01-01,,-381760,,989300,-1752821
